seq,sub_seq,conference,year,Long / Short /Stud,author,title & author,section,src,# of sentence,,
1,1,ACL,2018,L,,Finding syntax in human encephalography with beam search.,abstract,http://www.aclweb.org/anthology/P18-1254,6,,
2,2,ACL,2018,L,,Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information.,abstract,https://arxiv.org/pdf/1805.04655.pdf,6,,
3,3,ACL,2018,L,,Let’s do it “again”: A First Computational Approach to Detecting Adverbial Presupposition Triggers.,abstract,http://aclweb.org/anthology/P18-1256,5,,
4,4,ACL,2018,S,,Know What You Don’t Know: Unanswerable Questions for SQuAD.,abstract,http://aclweb.org/anthology/P18-2124,6,,
5,5,ACL,2018,S,,‘Lighter’ Can Still Be Dark: Modeling Comparative Color Descriptions.,abstract,http://www.aclweb.org/anthology/P18-2125,5,,
6,1,EMNLP,2018,,,How Much Reading Does Reading Comprehension Require? A Critical Investigation of Popular Benchmarks.,abstract,http://aclweb.org/anthology/D18-1546,7,,
7,2,EMNLP,2018,,,MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling.,abstract,http://aclweb.org/anthology/D18-1547,5,,
8,3,EMNLP,2018,,,Linguistically-Informed Self-Attention for Semantic Role Labeling.,abstract,http://aclweb.org/anthology/D18-1548,9,,
9,4,EMNLP,2018,,,Phrase-Based & Neural Unsupervised Machine Translation.,abstract,http://aclweb.org/anthology/D18-1549,8,,
10,1,NAACL,2018,,,Deep Contextualized Word Representations,abstract,http://www.aclweb.org/anthology/N18-1202,4,,
11,2,NAACL,2016,S,,Improving sentence compression by learning to predict gaze,abstract,http://www.aclweb.org/anthology/N16-1179,2,,
12,3,NAACL,2016,L,,Feuding Families and Former Friends; Unsupervised Learning for Dynamic Fictional Relationships,abstract,https://www.aclweb.org/anthology/N16-1180,5,,
13,4,NAACL,2016,L,,Learning to Compose Neural Networks for Question Answering,abstract,http://www.aclweb.org/anthology/N16-1181,4,,
14,5,NAACL,2015,L,,Unsupervised Morphology Induction Using Word Embeddings,abstract,https://www.aclweb.org/anthology/N15-1186,4,,
15,6,NAACL,2015,ST,,Retrofitting Word Vectors to Semantic Lexicons,abstract,https://arxiv.org/pdf/1411.4166.pdf,5,,
16,7,NAACL,2015,ST,,"“You’re Mr. Lebowski, I’m the Dude”: Inducing Address Term Formality in Signed Social Networks",abstract,http://www.aclweb.org/anthology/N15-1185,5,,
17,1,CONLL,2018,,,Uncovering Divergent Linguistic Information in Word Embeddings with Lessons for Intrinsic and Extrinsic Evaluation,abstract,http://aclweb.org/anthology/K18-1028,4,,4.81481481
18,2,CONLL,2017,,,Encoding of phonology in a recurrent neural model of grounded speech ,abstract,https://aclweb.org/anthology/K/K17/K17-1037.pdf,6,,
19,3,CONLL,2016,,,A Data-driven Investigation of Corrective Feedback on Subject Omission Errors in First Language Acquisition,abstract,https://aclweb.org/anthology/K/K16/K16-1011.pdf,3,,
20,1,COLING,2018,,,SGM: Sequence Generation Model for Multi-label Classification,abstract,https://aclweb.org/anthology/C18-1330,7,,
21,2,COLING,2018,,,Distinguishing affixoid formations from compounds,abstract,https://www.aclweb.org/anthology/C18-1325,3,,
22,3,COLING,2018,,,Authorless Topic Models: Biasing Models Away from Known Structure,abstract,https://aclweb.org/anthology/C18-1329,4,,
23,4,COLING,2018,,,Arguments and Adjuncts in Universal Dependencies,abstract,https://aclweb.org/anthology/C18-1324,2,,
24,5,COLING,2018,,,"Neural Network Models for Paraphrase Identification, Semantic Textual Similarity, Natural Language Inference, and Question Answering",abstract,https://aclweb.org/anthology/C18-1328,4,,
25,6,COLING,2018,,,AnlamVer: Semantic Model Evaluation Dataset for Turkish – Word Similarity and Relatedness,abstract,https://aclweb.org/anthology/C18-1323,5,,
26,7,COLING,2018,,,"A Survey on Open Information Extraction, by Christina Niklaus, Matthias Cetto",abstract,https://www.aclweb.org/anthology/C18-1326,3,,
27,8,COLING,2018,,,Design Challenges and Misconceptions in Neural Sequence Labeling,abstract,https://aclweb.org/anthology/C18-1327,3,,
28,,,2019,,"Mariya Toneva, Leila Wehbe",Interpreting and improving natural-language processing (in machines) with natural language-processing (in the brain),abstract,https://arxiv.org/abs/1905.11833,9,,
29,,,,,Tim O’Brien,MUSICAL STRUCTURE SEGMENTATION WITH CONVOLUTIONAL NEURAL NETWORKS,abstract,http://cs231n.stanford.edu/reports/2016/pdfs/220_Report.pdf,4,,
30,,,,,"Dario Pavllo, Christoph Feichtenhofer, David Grangier, Michael Auli",3D human pose estimation in video with temporal convolutions and semi-supervised training,abstract,https://arxiv.org/abs/1811.11742,6,,
31,,,,,"Denis Tome, Chris Russell, Lourdes Agapito",Lifting from the Deep: Convolutional 3D Pose Estimation from a Single Image,abstract,https://arxiv.org/abs/1701.00295,3,,
32,,,,,"Joseph Redmon, Ali Farhadi",YOLOv3: An Incremental Improvement,abstract,https://arxiv.org/abs/1804.02767,8,,
33,,,,,"Joseph Redmon, Santosh Divvala, Ross Girshick, Ali Farhadi","You Only Look Once: Unified, Real-Time Object Detection",abstract,https://arxiv.org/abs/1506.02640,11,,
34,,,,,"Huy Xuan Pham, Hung Manh La, David Feil-Seifer, Aria Nefian",Cooperative and Distributed Reinforcement Learning of Drones for Field Coverage,abstract,https://arxiv.org/abs/1803.07250,4,,
35,,,,,"Yang Lyu, Quan Pan, Jinwen Hu, Chunhui Zhao, Shuai Liu",Multi-vehicle Flocking Control with Deep Deterministic Policy Gradient Method,abstract,https://arxiv.org/abs/1806.00196,8,,
36,,,,,"Alessandro Renzaglia, Jilles Dibangoye, Vincent Le Doze, Olivier Simonin",Multi-UAV Visual Coverage of Partially Known 3D Surfaces: Voronoi-based Initialization to Improve Local Optimizers,abstract,https://arxiv.org/abs/1901.10272,7,,
37,,,,,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",Attention Is All You Need,abstract,https://arxiv.org/abs/1706.03762,7,,
38,,,,,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova",BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,abstract,https://arxiv.org/abs/1810.04805,5,,
39,,,,,"Rıza Alp Güler, Natalia Neverova, Iasonas Kokkinos",DensePose: Dense Human Pose Estimation In The Wild,abstract,https://arxiv.org/abs/1802.00434,6,,
40,,,,,"Angjoo Kanazawa, Michael J. Black, David W. Jacobs, Jitendra Malik",End-to-end Recovery of Human Shape and Pose,abstract,https://arxiv.org/abs/1712.06584,9,,
